city,neighbourhood_cleansed,total_listings,avg_occupancy,median_price,commercial_pct,licensed_pct,avg_availability,avg_reviews,occupancy_rate,total_listings_norm,avg_occupancy_norm,commercial_pct_norm,activity_score
los-angeles,Commerce,17,54.88,196.0,0.47,0.0,232.29,4.74,0.15,0.003787878787878788,0.3745472622683048,0.47,0.245
los-angeles,Compton,70,60.14,130.0,0.44,0.0,203.74,4.77,0.165,0.032467532467532464,0.41190256373837086,0.44,0.266
los-angeles,Covina,94,70.11,91.5,0.59,0.0,219.59,4.85,0.192,0.045454545454545456,0.48270719409132873,0.59,0.329
los-angeles,Culver City,641,91.74,173.5,0.63,0.01,199.05,4.81,0.251,0.34145021645021645,0.6363184432923797,0.63,0.517
los-angeles,Cypress Park,22,74.05,112.0,0.41,0.36,127.95,4.84,0.203,0.006493506493506494,0.5106881613521767,0.41,0.289
los-angeles,Del Aire,77,119.81,149.0,0.56,0.0,187.55,4.82,0.328,0.036255411255411256,0.8356650806050706,0.56,0.461
los-angeles,Del Rey,312,57.58,177.0,0.53,0.42,205.37,4.81,0.158,0.1634199134199134,0.39372203678716,0.53,0.329
los-angeles,Diamond Bar,123,31.5,254.5,0.63,0.0,156.57,4.81,0.086,0.061147186147186144,0.20850791847169944,0.63,0.234
los-angeles,Downey,158,74.93,124.5,0.62,0.0,190.34,4.83,0.205,0.08008658008658008,0.5169377174916555,0.62,0.363
los-angeles,Downtown,1187,43.03,171.0,0.61,0.47,229.87,4.74,0.118,0.6369047619047619,0.29039130743555147,0.61,0.493
los-angeles,Duarte,51,47.33,94.5,0.67,0.0,228.98,4.86,0.13,0.022186147186147188,0.32092891129891343,0.67,0.271
los-angeles,Eagle Rock,165,77.55,152.0,0.32,0.52,183.18,4.89,0.212,0.08387445887445888,0.5355443505432852,0.32,0.312
los-angeles,East Hollywood,385,46.61,104.0,0.69,0.33,216.12,4.66,0.128,0.20292207792207792,0.31581563809388535,0.69,0.345
los-angeles,East Los Angeles,377,101.02,130.0,0.69,0.0,230.7,4.76,0.277,0.1985930735930736,0.702222853490519,0.69,0.498
los-angeles,East Pasadena,89,104.15,131.5,0.84,0.02,214.09,4.83,0.285,0.04274891774891775,0.7244513883957105,0.84,0.475
los-angeles,East San Gabriel,161,63.48,99.0,0.81,0.0,199.91,4.68,0.174,0.0817099567099567,0.43562246999502874,0.81,0.369
